12,12,13,18,13,18,18,18,14,13,18,14,14,14,14,14,12,18,18,18,14,14,12,12,14,14,12,18,14,12
12,14,18,18,14,14,14,14,18,18,19,19,19,19,18,19,19,12,38,38,34,12,14,14,14,14,13,13,14,12
12,18,18,14,12,14,14,12,18,19,19,19,18,18,18,18,18,34,34,27,34,34,34,34,12,14,14,14,18,12
12,14,14,12,12,30,34,26,18,18,14,18,18,18,30,26,26,26,34,34,34,34,26,26,26,12,14,12,18,12
12,13,14,48,22,44,29,26,26,18,18,18,26,30,30,26,30,26,26,34,26,26,26,26,26,26,12,12,14,14
14,18,14,34,26,44,26,26,26,26,34,34,26,26,31,26,26,26,26,26,26,26,26,26,24,24,24,18,14,18
14,13,13,34,43,34,43,43,33,26,30,26,26,26,31,31,31,30,26,26,27,27,27,26,25,25,42,12,12,18
12,19,34,34,26,38,22,44,43,30,26,26,30,30,26,26,31,31,26,26,26,26,27,24,44,49,49,12,12,18
12,12,34,34,34,34,30,43,43,33,38,26,26,30,26,26,26,26,26,26,26,26,22,25,25,49,49,49,12,12
18,12,26,26,34,34,30,43,43,43,26,26,26,26,26,26,26,26,26,26,26,26,22,26,26,49,49,49,12,18
18,12,17,26,34,34,34,26,43,26,26,26,32,37,37,26,26,26,26,26,26,22,22,26,49,49,49,49,12,18
18,14,17,17,26,37,37,37,43,43,26,32,32,32,37,26,26,26,26,24,25,44,26,26,49,49,49,12,18,18
12,12,12,17,17,26,37,37,22,32,32,32,32,37,37,37,26,24,24,25,25,26,26,49,49,49,49,12,18,12
18,18,18,12,12,17,37,37,37,37,26,26,37,37,26,26,31,26,42,26,26,49,49,49,49,49,12,12,14,12
18,18,18,18,12,12,12,12,12,12,26,26,26,26,26,26,26,26,49,49,49,49,49,49,49,18,18,14,14,12
12,18,18,18,14,14,14,18,18,12,17,17,17,17,17,17,17,17,17,17,49,12,12,12,18,18,14,14,12,12
12,18,12,12,14,12,12,12,18,18,18,18,18,12,12,12,18,18,12,18,18,18,12,12,12,14,14,12,12,12
