18,18,18,14,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,18,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14
18,18,14,14,12,12,12,12,12,12,12,12,12,12,14,14,14,14,12,12,12,12,12,12,18,18,12,18,12,12,14,14,12,12,12,14,14,14,14,14
18,18,14,14,14,12,12,12,18,18,18,18,18,18,18,12,12,14,14,18,18,18,18,18,18,18,18,18,12,14,14,14,14,14,14,12,12,12,18,14
18,14,12,14,12,12,12,12,12,12,12,12,12,12,18,18,18,18,12,12,18,18,18,18,18,14,18,12,12,12,14,14,14,14,12,12,12,12,18,14
14,12,14,14,12,18,12,12,12,12,12,12,12,12,12,12,18,18,18,18,12,12,14,14,14,14,14,12,12,18,12,12,12,14,14,14,14,14,14,14
14,12,14,12,18,18,12,12,12,34,34,34,34,26,26,18,18,18,18,12,12,14,14,14,14,12,12,18,18,12,12,12,12,12,12,12,12,14,14,18
18,14,14,12,18,12,12,38,34,46,46,36,34,34,26,12,12,12,12,12,14,14,14,14,12,12,18,18,12,12,26,26,12,26,26,26,12,12,12,12
18,12,12,18,18,12,46,38,46,46,36,34,34,34,26,26,26,12,12,12,14,14,12,18,18,18,12,12,26,26,26,26,26,26,26,26,12,12,12,12
18,12,12,18,12,12,46,38,46,46,36,34,34,34,34,26,26,12,12,12,12,12,18,12,12,12,26,26,26,26,26,26,26,26,26,28,28,12,12,12
12,12,18,18,12,46,37,46,46,36,36,34,26,34,26,26,26,26,12,12,12,12,12,26,26,26,28,28,28,28,26,26,28,28,26,26,28,26,12,12
12,18,12,12,12,36,46,46,37,34,34,34,26,34,26,26,26,26,12,12,12,12,26,26,26,28,31,26,30,30,28,30,28,30,28,28,28,28,12,18
18,18,14,12,12,46,46,36,36,34,34,34,34,26,33,26,33,26,26,33,26,26,26,26,31,31,30,30,30,30,30,26,30,30,29,28,28,28,12,18
12,14,12,12,34,46,34,36,34,34,26,26,26,26,33,26,26,26,26,33,26,26,28,31,31,31,28,32,30,30,32,30,32,30,26,28,28,28,12,18
12,14,12,12,34,34,34,34,34,34,26,33,26,33,33,30,30,26,26,30,31,30,30,30,30,28,26,32,32,32,32,30,32,30,28,28,26,12,12,18
12,14,12,34,34,36,34,34,34,34,26,33,33,33,30,30,30,30,30,30,31,30,30,33,33,33,32,30,30,28,30,30,32,31,31,29,28,12,12,18
12,14,34,34,34,36,26,34,34,26,26,33,32,26,30,32,26,26,30,31,31,32,32,32,33,28,32,32,28,28,28,32,32,28,31,29,28,18,12,18
14,14,14,34,34,36,26,26,26,26,26,26,32,32,32,32,32,30,32,32,33,26,26,30,33,30,30,30,31,28,28,28,31,26,31,31,29,18,12,12
14,12,14,34,33,26,26,26,26,26,26,26,26,26,32,32,32,30,30,30,31,33,33,33,33,31,33,33,31,26,28,31,31,29,31,31,29,18,12,12
14,12,26,33,33,26,28,26,26,26,26,31,26,26,26,26,26,30,30,33,33,26,29,31,31,30,33,31,31,31,31,31,31,31,27,31,29,18,18,18
14,12,12,33,33,26,30,30,30,26,26,31,31,30,26,31,31,31,31,31,29,31,31,30,30,31,31,31,31,31,31,31,31,27,29,31,29,12,12,18
14,12,12,26,26,30,30,30,30,30,28,26,30,30,30,31,31,31,32,32,32,32,30,31,31,31,29,31,31,31,28,28,29,27,28,28,27,12,12,12
14,14,12,12,26,30,30,28,30,30,30,30,30,29,31,31,31,30,30,32,32,31,31,29,31,31,31,29,31,31,31,27,29,27,27,28,12,12,12,12
18,14,14,12,12,26,26,28,28,30,30,31,31,31,26,30,27,30,27,29,27,27,27,27,27,27,31,31,31,29,29,31,31,27,27,27,12,12,14,12
18,12,14,12,14,12,26,28,28,26,26,29,29,29,27,27,29,27,29,12,12,12,27,27,27,29,29,27,27,27,29,29,27,28,27,12,12,12,14,12
18,18,12,12,12,12,12,26,28,28,29,29,27,27,27,27,27,27,12,12,12,12,12,12,12,12,29,29,28,28,27,29,29,27,27,12,12,14,14,12
12,18,18,18,18,12,12,12,12,12,12,12,29,29,29,27,27,12,18,18,12,18,12,12,12,12,29,27,27,27,27,27,27,27,12,12,12,14,18,12
14,18,18,18,12,14,14,12,12,12,12,12,12,12,12,12,12,18,18,14,14,18,12,12,12,12,12,12,12,12,12,27,12,12,12,12,12,14,18,12
14,14,14,18,12,12,14,14,14,14,12,12,12,14,14,12,18,18,12,12,14,14,14,12,12,18,18,18,18,12,12,12,12,12,12,12,18,14,14,14
12,18,14,18,18,14,14,14,14,14,14,12,12,12,18,18,18,14,14,14,14,12,14,14,14,12,12,14,14,18,12,14,14,14,14,14,14,14,14,14
12,14,14,14,14,14,14,14,14,12,12,18,18,18,18,18,14,12,12,12,14,14,14,14,14,18,18,18,14,14,14,14,14,14,14,14,14,14,14,14
